word,pos,level,desc
"numerous","adjective","C1","many"
"nurse","noun","A2","someone whose job is to care for ill and injured people"
"nurse","verb","C2","to care for a person or animal that is ill"
"nursery","noun","B2","a place where young children and babies are taken care of while their parents are at work"
"nut","noun","B2","the dry fruit of some trees which grows in a hard shell, and can often be eaten"
"nutrition","noun","C1","the food that you eat and the way that it affects your health"
"nutritional","adjective","C1","relating to the food that you eat and the way it affects your health"
"nutritious","adjective","C1","Nutritious food contains substances that your body needs to stay healthy."
"in a nutshell","noun","C1","something that you say when you are describing something using as few words as possible"
"oak","noun","B2","a large tree found in northern countries, or the wood of this tree"
"obese","adjective","C1","extremely fat"
"obesity","noun","C1","the state of being extremely fat"
"obey","verb","B2","to do what you are told to do by a person, rule, or instruction"
"object (THING)","noun","B1","a thing that you can see or touch but that is usually not alive"
"object (GRAMMAR)","noun","B1","in grammar, the person or thing that is affected by the action of the verb or the person or thing that comes after a preposition"
"the object of sth","noun","C1","the purpose of something"
"object","verb","B2","to feel or say that you do not like or do not approve of something or someone"
"objection","noun","B2","when someone says that they do not like or approve of something or someone"
"objective","noun","B2","something that you are trying to achieve"
"objective","adjective","B2","only influenced by facts and not by feelings"
"objectively","adverb","C1","in a way that is only influenced by facts and not by feelings"
"obligation","noun","B2","something that you do because it is your duty or because you feel you have to"
"obligatory (COMPULSORY)","adjective","C1","If something is obligatory, you must do it because of a rule or duty."
"obligatory (EXPECTED)","adjective","C2","used to describe something that everyone does or has or something that is expected"
"be obliged to do sth","verb","B2","to be forced to do something"
"oblige","verb","C1","to be helpful"
"obscene (SEX)","adjective","C2","relating to sex in a way that is unpleasant or shocking"
"obscene (TOO LARGE)","adjective","C2","An obscene amount of something is shocking or morally wrong because it is too large."
"observant","adjective","C2","good or quick at noticing things"
"observation (WATCHING)","noun","B2","when someone watches someone or something carefully"
"observation (REMARK)","noun","C1","a remark about something that you have noticed"
"observe (WATCH)","verb","B2","to watch someone or something carefully"
"observe (NOTICE)","verb","C1","to notice something"
"observe (OBEY)","verb","C2","to obey a law, rule, or religious custom"
"observer","noun","C2","a person who watches what happens but has no active part in it"
"be obsessed by/with sb/sth","adjective","B2","to think about someone or something all the time"
"obsession","noun","B2","something or someone that you think about all the time"
"obsessive","adjective","C2","thinking too much about something, or doing something too much"
"obsolete","adjective","C1","not used now"
"obstacle","noun","C1","something that makes it hard for you to go somewhere or to succeed at something"
"obtain","verb","B2","to get something"
"obvious","adjective","B1","easy to understand or see"
"obviously","adverb","B1","in a way that is easy to understand or see"
"occasion (SPECIAL TIME)","noun","B1","an important event or ceremony"
"occasion (PARTICULAR TIME)","noun","B2","a time when something happens"
"on occasion(s)","noun","C2","sometimes, but not often"
"occasional","adjective","C1","not happening or done often or regularly"
"occasionally","adverb","B2","sometimes but not often"
"occupation (JOB)","noun","A2","your job"
"occupation (HOBBY)","noun","C1","something that you do in your free time"
"occupation (CONTROL)","noun","C2","when an army moves into a place and takes control of it"
"occupy (FILL)","verb","B2","to fill or use a place or period of time"
"occupy (KEEP BUSY)","verb","B2","to keep someone busy or interested"
"occupy (CONTROL)","verb","C1","to move into a place and take control of it"
"occur","verb","B2","to happen, often without being planned"
"occurrence","noun","C1","something that happens or how often it happens"
"ocean","noun","B1","the sea"
"a drop in the ocean","noun","C2","a very small amount compared to the amount needed"
"one/two/three, etc. o'clock","adverb","A1","used after the numbers one to twelve to mean exactly that hour when you tell the time"
"October","noun","A1","the tenth month of the year, after September and before November"
"odd","adjective","B2","strange or unusual"
"the odd","adjective","C2","used to talk about something that happens or exists sometimes but not often"
"oddly","adverb","C2","in a strange or surprising way"
"odds","noun","C1","the probability that a particular thing will or will not happen"
"against all (the) odds","noun","C2","If you do or achieve something against all the odds, you succeed although you were not likely to."
"odds and ends","noun","C2","a group of small objects of different types which are not valuable or important"
"be at odds with sb/sth","noun","C2","to not agree with someone or something"
"odour","noun","C2","a smell, often one that is unpleasant"
"of (BELONG)","preposition","A1","belonging or relating to someone or something"
"of (AMOUNT)","preposition","A1","used after words which show an amount"
"of (CONTAINING)","preposition","A1","containing"
"of (NUMBER)","preposition","A1","used with numbers, ages and dates"
"of course","preposition","A1","used to say 'yes' and emphasize your answer"
"of (POSITION)","preposition","A2","used in expressions showing position"
"of (SHOW)","preposition","A2","showing someone or something"
"of (COMPARING)","preposition","A2","used when comparing related things"
"of course not","preposition","A2","used to say 'no' and emphasize your answer"
"of (WHO/WHAT)","preposition","B1","used to show who or what does something"
"of (CAUSE)","preposition","B1","showing a reason or cause"
"of course","preposition","B1","used to show that what you are saying is obvious or already known"
"of (JUDGMENT)","preposition","B2","used after an adjective when judging someone's behaviour"
"of (RELATING TO)","preposition","C1","about or relating to"
"of your own accord","preposition","C2","If you do something of your own accord, you choose to do it and no one else forces you."
"off (NOT AT WORK)","adverb","A2","not at work"
"off (REMOVED)","adverb","A2","used with actions in which something is removed or removes itself from another thing"
"off (NOT OPERATING)","adverb","A2","not operating or being used"
"off (AWAY FROM)","adverb","B1","away from a place or position"
"off (LESS MONEY)","adverb","B1","If a price has a certain amount of money off, it costs that much less than the usual price."
"off (DISTANCE/TIME)","adverb","C1","far in distance or time"
"off (AWAY FROM)","preposition","B1","down or away from a place or position"
"off (REMOVED)","preposition","B1","used with actions in which something is removed or removes itself from another thing"
"off (NEAR)","preposition","B2","near to a building or place"
"off duty ()","preposition","B2","If someone such as a doctor or a soldier is off duty, they are not working."
"off limits","preposition","C2","If an area is off limits, you are not allowed to enter it."
"off the record","preposition","C1","If you say something off the record, you do not want the public to know about it."
"off the beaten track","preposition","C2","in a place where few people go"
"off (FOOD)","adjective","B2","If food or drink is off, it is not now fresh and good to eat or drink."
"off (STOPPED)","adjective","C2","stopped or given up"
"offence (CRIME)","noun","B2","a crime"
"offence (UPSET FEELINGS)","noun","B2","when something rude makes someone upset or angry"
"offend","verb","B2","to make someone upset or angry"
"offender","noun","B2","someone who has committed a crime"
"offensive","adjective","B2","likely to make people angry or upset"
"offer (SAY YOU WILL DO)","verb","A2","to say that you are willing to do something"
"offer (ASK)","verb","B1","to ask someone if they would like something"
"offer (PROVIDE)","verb","B1","to give or provide something"
"offer (AGREE TO PAY)","verb","C1","to say that you will pay a particular amount of money"
"offer (SAYING YOU WILL DO/GIVE)","noun","A2","when you ask someone if they would like something"
"offer (CHEAP)","noun","B1","a cheap price or special arrangement for something you are buying"
"on offer","noun","B2","available"
"offer (PAYMENT)","noun","C2","an amount of money that you say you will pay for something"
"office (PLACE)","noun","A2","a room or building where people work"
"office (INFORMATION)","noun","A2","a room or building where you can get information, tickets, or a particular service"
"office (JOB)","noun","C1","an important job in an organization"
"officer (POLICE)","noun","B1","a police officer"
"officer (POSITION OF AUTHORITY)","noun","B1","a person who has a position of authority in an organization"
"officer (MILITARY)","noun","B2","someone with an important job in a military organization"
"official (APPROVED)","adjective","B2","approved by the government or someone in authority"
"official (JOB/DUTIES)","adjective","C2","relating to the duties of someone in authority"
"official (KNOWN)","adjective","C2","known by the public"
"official (NOT TRUE)","adjective","C2","An official explanation or statement is one that is given, but which may not be true."
"official","noun","C2","a person who has a position of responsibility in an organization"
"officially","adverb","C1","formally and in a way agreed to or arranged by people in positions of authority"
"off-putting","adjective","C2","slightly unpleasant or worrying so that you do not want to get involved in any way"
"offset","verb","C2","If one thing offsets another thing, it has the opposite effect and so creates a more balanced situation."
"offspring","noun","C2","the child of a person or animal"
"often (REGULARLY)","adverb","A1","many times or regularly"
"often (NORMAL/TRUE)","adverb","B2","If something often happens or is often true, it is normal for it to happen or it is usually true."
"every so often","adverb","C2","sometimes, but not often"
"oh (NEW IDEA)","exclamation","A1","introduces an idea that you have just thought of, or something that you have just remembered"
"oh (EXPRESS EMOTION)","exclamation","A1","used to express different emotions, such as surprise, disappointment and pleasure, often as a reaction to something someone has said"
"Oh my God!","exclamation","B1","used to emphasize how surprised, angry, shocked, etc. you are"
"oil (FOR COOKING)","noun","A2","a thick liquid produced from plants that is used in cooking"
"oil (FUEL)","noun","B1","a thick liquid that comes from under the Earth's surface that is used as a fuel and for making parts of machines move easily"
"burn the midnight oil","noun","C2","to work late into the night"
"OK (AGREEING)","exclamation","A1","used when agreeing to do something or when allowing someone to do something"
"OK (UNDERSTAND)","exclamation","A2","used to check that someone understands something or that they agree to something"
"OK (ACTION)","exclamation","A2","used as a way of showing that you are going to take action, start speaking or start something new"
"OK (NOT ILL/UPSET, ETC.)","adjective","A1","not ill, damaged, upset, etc."
"OK (GOOD)","adjective","A2","good or good enough"
"OK (ALLOWED)","adjective","A2","allowed or acceptable"
"OK","adverb","A2","in a satisfactory way"
"old (EXISTED MANY YEARS)","adjective","A1","having lived or existed for many years"
"old (AGE)","adjective","A1","used to describe or ask about someone's age"
"old (FROM THE PAST)","adjective","A2","from a period in the past"
"old friend","adjective","A2","someone who you have known and liked for a long time"
"the old days","adjective","C1","a period in the past"
"the same old arguments/face/story, etc. ()","adjective","C1","something or someone you have seen or heard many times before"
"old-fashioned","adjective","B1","not modern"
"olive","noun","B1","a small green or black fruit with a bitter taste that is eaten or used to produce oil"
"omelette","noun","A2","a food made with eggs that have been mixed and fried, often with other foods added"
"omission","noun","C2","when something has not been included that should have been"
"omit","verb","C1","to not include something"
"omit to do sth","verb","C1","to not do something"
"on (SURFACE)","preposition","A1","on or onto a surface"
"on (DAY/DATE)","preposition","A1","used to show the day or date when something happens"
"on (CONNECTED)","preposition","A1","covering, touching, attached to or hanging from something"
"on (DIRECTIONS)","preposition","A2","used to refer to a place when giving directions"
"on (TRAVEL)","preposition","A2","used for showing some methods of travelling"
"on (PLACE)","preposition","A2","in a particular place"
"on (RECORDING)","preposition","A2","used to show the way in which something is recorded or broadcast"
"on (TIME/MONEY)","preposition","A2","used to show what money or time is used for"
"on foot","preposition","A2","walking"
"on sale","preposition","A2","available at a reduced price"
"on sale","preposition","B1","available to buy in a shop, on the Internet, etc."
"on (ABOUT)","preposition","B1","about"
"on (NEXT TO)","preposition","B1","next to or along the side of a place or area"
"on (USING)","preposition","B1","using something"
"on board","preposition","B1","on a boat, train, aircraft, etc."
"on fire","preposition","B1","If something is on fire, it is burning when it should not be."
"on purpose","preposition","B1","intentionally"
"on time","preposition","B1","not early or late"
"on display ()","preposition","B1","If something is on display, it is there for people to look at."
"on the whole","preposition","B1","generally"
"(all) on your own","preposition","B1","alone"
"(all) on your own","preposition","B1","without any help"
"on (TOUCH/HIT)","preposition","B2","used to show what happens as a result of touching or hitting against something"
"on (FOOD/FUEL)","preposition","B2","used to show something which is used as food or fuel"
"on account of sth","preposition","B2","because of something"
"on behalf of sb or on sb's behalf","preposition","B2","If you do something on behalf of someone, you do it for them or instead of them."
"on balance ()","preposition","B2","used to give your opinion after you have considered all the facts about something"
"on condition that","preposition","B2","only if"
"on duty ()","preposition","B2","If someone such as a doctor or a soldier is on duty, they are working."
"on top of sth","preposition","B2","in addition to something else that is bad"
"on the one hand ... on the other hand","preposition","B2","used when you are comparing two different ideas or opinions"
"on offer","preposition","B2","available"
"be on a committee/panel, etc.","preposition","C1","to be a member of a group or organization"
"on the basis of sth","preposition","C1","having something as a reason"
"be on the ball","preposition","C1","to be quick to understand and react to things"
"on air","preposition","C1","on television or radio"
"on the grounds of/that","preposition","C1","because of a particular reason"
"on hold","preposition","C1","If a plan or activity is on hold, it will not be done until a later time."
"on hold","preposition","C1","waiting to speak to someone on the telephone"
"on the horizon","preposition","C1","likely to happen soon"
"on the increase","preposition","C1","If something is on the increase, it is happening more often."
"on loan","preposition","C1","If something is on loan, someone is borrowing it."
"on location","preposition","C1","If a film or television programme is made on location, it is made at a place suitable to the story."
"on the road","preposition","C1","driving or travelling, usually over a long distance"
"on track","preposition","C1","making progress and likely to succeed"
"on show","preposition","C1","being shown to the public"
"on site","preposition","C1","inside a factory, office building, etc."
"be on the verge of sth/doing sth","preposition","C2","to be going to happen or do something very soon"
"have/carry sth on you","preposition","C2","to have something with you"
"on no account; not on any account","preposition","C2","not for any reason or in any situation"
"be on the brink of sth","preposition","C2","to be in a situation where something bad is going to happen very soon"
"be on the cards","preposition","C2","to be likely to happen"
"be on cloud nine","preposition","C2","to be extremely happy and excited"
"on the dot","preposition","C2","at that exact time"
"on occasion(s)","preposition","C2","sometimes, but not often"
"be on the verge of sth/doing sth","preposition","C2","to be going to happen or to do something very soon"
"be on the same wavelength","preposition","C2","If two people are on the same wavelength, they have the same way of thinking and it is easy for them to understand each other."
"(be) on the line","preposition","C2","If someone's job, reputation, life, etc. is on the line, they may lose it."
"be on edge","preposition","C2","to be nervous or worried"
"on the face of it","preposition","C2","used when you are describing how a situation seems on the surface"
"be on (good) form","preposition","C2","If someone is in form or on form, they are feeling or performing well, and if they are off form they are not feeling or performing well."
"be on (your) guard","preposition","C2","to be ready to deal with something difficult that might happen"
"on hand or to hand","preposition","C2","near to someone or something, and ready to help or be used when necessary"
"on impulse","preposition","C2","suddenly and without thinking first"
"on the part of sb; on sb's part","preposition","C2","done or experienced by someone"
"on principle","preposition","C2","If you refuse to do something on principle, you refuse to do it because you think it is morally wrong."
"on the side","preposition","C2","in addition to your main job"
"on the spot","preposition","C2","immediately"
"on the spur of the moment","preposition","C2","If you do something on the spur of the moment, you do it suddenly, without planning it."
"on the threshold of sth","preposition","C2","at the start of a new and important time or development"
"on (WEAR)","adverb","A2","If you have something on, you are wearing it."
"on (MOVEMENT/POSITION)","adverb","B1","into a bus, train, plane, etc. or onto a horse"
"on (HAPPENING)","adverb","B2","happening or planned"
"on (PERFORMING)","adverb","C2","performing"
"on (MOVING FORWARD)","adverb","B2","in a way which results in forward movement"
"on (WORKING)","adverb","B2","working or being used"
"once (ONE TIME)","adverb","A2","one single time"
"once (PAST)","adverb","B1","in the past, but not now"
"once again","adverb","B1","again"
"once more","adverb","B1","one more time"
"at once","adverb","B1","immediately"
"once upon a time","adverb","B1","used at the beginning of a story to mean a long time ago"
"at once","adverb","C1","at the same time"
"for once","adverb","B2","used to mean that something is happening that does not usually happen"
"(every) once in a while","adverb","B2","sometimes but not often"
"all at once","adverb","C1","suddenly"
"once and for all","adverb","C2","completely and finally"
"once","conjunction","B2","as soon as"
"one","number","A1","the number 1"
"one (PARTICULAR PERSON/THING)","pronoun","A2","used to refer to a particular person or thing in a group that has already been talked about"
"one another","pronoun","B1","each other"
"one by one","pronoun","B2","separately, one after the other"
"one at a time","pronoun","B2","separately"
"one after another","pronoun","B2","many, in a series, especially with very little time between them"
"(all) in one","pronoun","C2","combined into a single thing"
"one (ANY PERSON)","pronoun","C1","any person in general"
"one (PARTICULAR PERSON/THING)","determiner","A2","used to refer to a particular person or thing in a group"
"one day","determiner","A2","used to talk about something that happened in the past"
"one (FUTURE TIME)","determiner","B2","used to refer to a time in the future which is not yet decided"
"one (PARTICULAR TIME)","determiner","B2","used to refer to a particular occasion while avoiding stating the exact moment"
"one (SINGLE)","determiner","B2","a single thing"
"one (ONLY)","determiner","B2","used when saying there is no other person or thing"
"one day","determiner","B1","at some time in the future"
"one or two","determiner","B1","a few"
"one way or another","determiner","B2","in some way that is not stated"
"one way or the other","determiner","B2","in any way that is possible"
"one of a kind","determiner","C2","used to describe someone or something that is completely different from other people or things"
"oneself","pronoun","C1","the reflexive form of the pronoun 'one' when it refers to the person speaking or people in general"
"ongoing","adjective","C2","still happening"
"onion","noun","A2","a round vegetable with layers that has a strong taste and smell"
"online","adjective","A2","describes products, services or information that can be bought or used on the Internet"
"online","adverb","A2","bought, used, etc. using the Internet"
"only (NOT MORE)","adverb","A1","not more than a particular size or amount"
"only (NO ONE/NOTHING ELSE)","adverb","A2","not anyone or anything else"
"only (NOWHERE ELSE)","adverb","B1","not in any other place"
"only (RECENTLY)","adverb","B1","used to mean that something happened very recently"
"only (NOT IMPORTANT)","adverb","B1","used to say that something is not important, or that you did not mean to upset someone"
"if only","adverb","B1","used when you want to say how doing something simple would make it possible to avoid something unpleasant"
"I only hope (that) ... /I only wish ... (that)","adverb","B2","used to emphasize what you are hoping or wishing for"
"not only","adverb","B2","used to say that more than one thing is true"
"be only human","adverb","C2","to not be perfect"
"only so much/many","adverb","C2","used to say that there are limits to something"
"only","adjective","A1","used to mean that there are not any others"
"only","conjunction","C2","used to introduce a statement which explains why something you have just said cannot happen or is not completely true"
"onto (MOVEMENT)","preposition","B1","used to show movement into or on a particular place"
"onto (CHANGING SUBJECT)","preposition","B2","used to show that you are starting to talk about a different subject"
"from the 1870s/March/6.30 pm, etc. onwards","adverb","C2","beginning at a time and continuing after it"
"open (DOING BUSINESS)","adjective","A1","available for business or serving customers"
"open (NOT CLOSED)","adjective","A2","not closed or fastened"
"open (WITHOUT BUILDINGS)","adjective","B1","An open area of land has no buildings on it or near it."
"open (HONEST)","adjective","C2","An open person is honest and does not hide their feelings."
"have/keep an open mind","adjective","B2","to wait until you know all the facts before you form an opinion about something or judge someone"
"open (NOT SECRET)","adjective","C2","not secret"
"open (NOT COVERED)","adjective","B2","without a roof or cover"
"open to abuse/criticism, etc.","adjective","C2","likely to be abused/criticized, etc."
"open to discussion/suggestions, etc.","adjective","C1","willing to consider a discussion/suggestions, etc."
"keep your eyes open (for sb/sth)","adjective","C2","to watch carefully for someone or something"
"open (NOT CLOSED)","verb","A1","to move something to a position that is not closed, or to make something change to a position that is not closed"
"open (CONTAINER/PARCEL, ETC.)","verb","A2","to remove or separate part of a container or parcel so that you can see or use what it contains"
"open (SHOP, ETC.)","verb","A2","If a shop or office opens at a particular time of day, it starts to do business at that time."
"open (COMPUTERS)","verb","B1","to make a computer document or program ready to be read or used"
"open (START OFFICIALLY)","verb","B2","If a business or activity opens, it starts officially for the first time, and if you open it, you make it start officially for the first time."
"open your heart","verb","C2","to tell someone your secret thoughts and feelings"
"opening (CEREMONY)","noun","B2","a ceremony at the beginning of an event or activity"
"opening (BEGINNING)","noun","B2","the beginning of something"
"opening (HOLE)","noun","C2","a hole or space that something or someone can pass through"
"opening","adjective","C1","happening at the beginning of an event or activity"
"openly","adverb","C1","without hiding any of your thoughts or feelings"
"open-minded","adjective","C1","willing to consider ideas and opinions that are new or different to your own"
"openness","noun","C2","when someone is honest about their thoughts and feelings"
"opera","noun","A2","a musical play in which most of the words are sung"
"operate (TREATMENT)","verb","B1","to treat an illness or injury by cutting someone's body and removing or repairing part of it"
"operate (MACHINE)","verb","B2","If a machine operates, it does what it is designed to do, and if you operate it, you make it do what it is designed to do."
"operate (ORGANIZATION)","verb","B2","If an organization or business operates, it is working, and if you operate it, you manage it and make it work."
"operation (DOCTOR)","noun","B1","when a doctor cuts someone's body to remove or repair part of it"
"operation (PLANNED ACTIVITY)","noun","C1","an activity which is planned to achieve something"
"operation (ORGANIZATION)","noun","C1","an organization or business"
"operation (WORK)","noun","C1","the fact of operating or being active"
"operator (PERSON CONTROLLING MACHINE)","noun","B2","someone whose job is to use and control a machine or vehicle"
"operator (COMPANY)","noun","B2","a company that does a particular type of business"
"opinion (OF PERSON)","noun","B1","a thought or belief about something or someone"
"opinion (OF GROUP)","noun","B2","the thoughts or beliefs that a group of people have"
"have a high/low opinion of sb/sth","noun","C1","to think that someone or something is good/bad"
"in my humble opinion","noun","C2","used to give your opinion about something, often when you are sure you are right"
"opponent (SPORT)","noun","B2","someone who you compete against in a game or competition"
"opponent (PERSON WHO DISAGREES)","noun","B2","someone who disagrees with an action or belief and tries to change it"
"opportunity (CHANCE)","noun","B1","a situation in which it is possible for you to do something, or a possibility of doing something"
"opportunity (CHANCE OF JOB)","noun","B2","the chance to get a job"
"take the/this opportunity to do sth","noun","B2","to use an occasion to do or say something"
"oppose","verb","B2","to disagree with a plan or activity and to try to change or stop it"
"be opposed to sth","adjective","C1","to disagree with a plan or activity"
"as opposed to","adjective","C2","used to say that two things are very different"
"opposite","preposition","A2","in a position facing someone or something but on the other side"
"opposite (FACING)","adjective","B1","in a position facing something or someone but on the other side"
"opposite (DIFFERENT)","adjective","B2","completely different"
"the opposite sex","adjective","C1","people who are the other sex from you"
"opposite","noun","B1","something or someone that is completely different from another person or thing"
"opposite","adverb","B1","in a position facing someone or something but on the other side"
"opposition","noun","C1","strong disagreement"
"the opposition","noun","C1","the political parties in a country that are not part of the government"
"opt","verb","C1","to choose something or to decide to do something"
"optimism","noun","C2","when you believe good things will happen"
"optimist","noun","C1","someone who always believes that good things will happen"
"optimistic","adjective","B2","always believing that good things will happen"
"option","noun","B1","a choice"
"have no option (but to do sth)","noun","C1","to not have the possibility of doing something else"
"optional","adjective","B2","If something is optional, you can choose whether to do it, pay it, buy it, etc."
"or (POSSIBILITIES)","conjunction","A1","used between possibilities, or before the last in a list of possibilities"
"or (NOT EITHER)","conjunction","A2","used after a negative verb to mean not one thing and also not another"
"or not","conjunction","A2","used to express the possibility that something might not happen"
"or (WARNING)","conjunction","B1","used to give someone a warning or advice"
"or (CHANGE)","conjunction","B2","used to change or correct something you have said"
"or so","conjunction","B1","approximately"
"or else","conjunction","B2","used to say what will happen if another thing does not happen"
"or (REASON)","conjunction","C1","used to give a reason for something you have said"
"or two","conjunction","C1","used to show a very small number, usually one or two"
"or else","conjunction","C2","used to compare two different things or situations"
"oral","adjective","B2","spoken, not written"
"orange","adjective","A1","being a colour that is a mixture of red and yellow"
"orange (FRUIT)","noun","A1","a round, sweet fruit with a thick skin and a centre that is divided into many equal parts"
"orange (COLOUR)","noun","A2","a colour between red and yellow"
"orchestra","noun","B1","a large group of musicians who play different instruments together"
"orchestral","adjective","B2","played by, written for or to do with an orchestra"
"ordeal","noun","C2","a very unpleasant experience"
"order (REQUEST)","noun","A2","a request to make, supply or deliver food or goods"
"order (ARRANGEMENT)","noun","B1","the way in which people or things are arranged, either in relation to one another or according to a particular characteristic"
"in order (for sb/sth) to do sth","noun","B1","with the purpose of achieving something"
"out of order","noun","B1","If a machine or system is out of order, it is not working as it should."
"order (INSTRUCTION)","noun","B2","an instruction that someone must obey"
"order (TIDY)","noun","B2","a situation in which everything is in its correct place"
"order (CORRECT BEHAVIOUR)","noun","C2","a situation in which people obey laws and there is no trouble"
"economic/political/social order","noun","C2","the way that the economy, politics, or society is organized"
"law and order","noun","C2","the obeying of laws in society"
"order (REQUEST)","verb","A2","to ask for food, goods, etc."
"order (INSTRUCT)","verb","B2","to give someone an instruction that they must obey"
"ordinary","adjective","B1","not special, different, or unusual in any way"
"out of the ordinary","adjective","C2","unusual or different"
"organ (BODY)","noun","C1","a part of an animal or plant that has a special purpose"
"organ (MUSIC)","noun","C2","a large musical instrument that has keys like a piano and produces different notes when air is blown through pipes of different lengths"
"organic","adjective","B2","not using artificial chemicals when keeping animals or growing plants for food"
"organization (GROUP)","noun","B1","an official group of people who work together for the same purpose"
"organization (PLANNING)","noun","B1","the planning of an activity or event"
"organization (ARRANGEMENT)","noun","C1","the way that parts of something are arranged"
"organize (PLAN)","verb","B1","to plan or arrange something"
"organize (ARRANGING)","verb","B2","to do or arrange something according to a particular system"
"organized (PLANNED)","adjective","B2","planned or arranged"
"organized (GOOD AT PLANNING)","adjective","B2","describes someone who is able to plan things carefully and keep things tidy"
"organizer","noun","B2","someone who plans an event or activity"
"orientation (BELIEFS)","noun","C2","the type of beliefs that a person has"
"orientation (TRAINING)","noun","C2","training or preparation for a new job or activity"
"origin (CAUSE)","noun","B2","the cause of something, or where something begins or comes from"
"origin (COUNTRY/RACE, ETC.)","noun","C1","the country, race, or social class of a person's family"
"original (FIRST MADE)","adjective","B1","existing since the beginning, or being the earliest form of something"
"original (INTERESTING)","adjective","B1","special and interesting because of not being the same as others"
"original (PAINTING, ETC.)","adjective","B2","describes a piece of work produced by an artist or writer and not a copy"
"original","noun","B2","something that is in the form in which it was first created and has not been copied or changed"
"originally","adverb","B2","at the beginning or before any changes"
"originate from/in/with, etc.","verb","C2","to come from a particular place, person or cause, or to begin during a particular period"
"ornament","noun","C2","an attractive object that is used as a decoration in a home or garden"
"orphan","noun","C2","a child whose parents have died"
"orthodox (RELIGION)","adjective","C2","keeping the traditional beliefs and customs of Judaism or some types of Christianity"
"orthodox (IDEA)","adjective","C2","If ideas or methods are orthodox, most people think they are correct, usually because they have existed for a long time."
"other (ADDITIONAL)","determiner","A1","as well as the person or thing already mentioned"
"other (PART OF SET)","determiner","A2","used to talk about the remaining members of a group or items in a set"
"other (DIFFERENT)","determiner","B1","different from the thing or person already mentioned"
"the other side/end (of sth)","determiner","B1","the opposite side or end of something"
"the other day/week, etc.","determiner","B1","referring to a day, week, etc. in the recent past without saying exactly when it was"
"in other words","determiner","B2","used to introduce an explanation that is simpler than the one given earlier"
"or other","determiner","C1","used when you cannot or do not want to be exact about the information you are giving"
"the other way round/around","determiner","B2","happening in the opposite way"
"other than","determiner","C1","different from or except"
"every other day/week, etc.","determiner","C2","happening one day/week, etc but not the next"
"other than that","determiner","C1","except for the thing you have just said"
"other","pronoun","A2","used to refer to a person or thing which belongs to a group or set that you have already talked about"
"each other","pronoun","A2","used to show that each person in a group of two or more people does something to the others"
"others","pronoun","B1","people in general, not including yourself"
"others","pronoun","B2","more ones"
"otherwise (WHAT WOULD HAPPEN)","adverb","B1","used after an order or suggestion to show what the result will be if you do not follow that order or suggestion"
"otherwise (DIFFERENTLY)","adverb","C1","different to what has just been stated"
"otherwise (NOT INCLUDING)","adverb","B2","except for what has just been referred to"
"ought to (BEST THING)","modal verb","B1","used to say or ask what is the correct or best thing to do"
"ought to (TRUE)","modal verb","B2","used to say that you expect something to be true or that you expect something to happen"
"our","determiner","A1","belonging to or relating to us"
"ours","pronoun","A2","used to show that something belongs to or is connected with the person who is speaking and one or more other people"
"ourselves","pronoun","A2","the reflexive form of the pronoun 'we'"
"(by) ourselves","pronoun","A2","alone or without anyone else's help"
"out (SOCIAL ACTIVITY)","adverb","A2","used to refer to a period of time when someone goes away from home for a social activity"
"out (NOT THERE)","adverb","A2","not in the place where you usually live or work, especially for a short time"
"out (AWAY FROM INSIDE)","adverb","B1","used to show movement away from the inside of a place or container"
"out (APPEAR)","adverb","B1","able to be seen"
"out (LIGHT/FIRE)","adverb","B2","If a light or fire is out, it is no longer shining or burning."
"out (AVAILABLE)","adverb","B1","available to buy or see"
"out (DISAPPEAR)","adverb","B1","to the point where something is removed or disappears"
"out loud","adverb","B1","If you say or read something out loud, you say or read it so that other people can hear you."
"out (FAR AWAY)","adverb","C2","a long distance away from land, a town or your own country"
"out (NOT ACCURATE)","adverb","C1","not accurate"
"down and out","adverb","C2","having no money, no luck and no opportunities"
"the ins and outs of sth","adverb","C2","the details of a particular subject"
"outbreak","noun","C2","when something unpleasant and difficult to control starts, such as a war or disease"
"outcome","noun","C1","the final result of an activity or process"
"outdoor","adjective","B1","happening, used, or in a place that is outside and not inside a building"
"outdoors","adverb","B1","outside"
"outer","adjective","B2","on the edge or surface of something"
"outgoing (FRIENDLY)","adjective","C1","Someone who is outgoing is friendly, talks a lot, and enjoys meeting people."
"outgoing (LEAVING A PLACE)","adjective","C2","going to another place, or leaving a job"
"outgoings","noun","C2","money that you have to spend on rent, food, etc."
"outlet (SHOP)","noun","C2","In business, an outlet is a shop that sells one type of product or the products of one company."
"outlet (EXPRESS)","noun","C2","a way for someone to express an emotion, idea, or ability"
"outline (DESCRIPTION)","noun","B2","a short description of the most important ideas or facts about something"
"outline (SHAPE)","noun","C2","the shape made by the outside edge of something"
"outline","verb","B2","to describe only the most important ideas or facts about something"
"outlook (FUTURE)","noun","C1","the likely future situation"
"outlook (THINKING)","noun","C2","the way a person thinks about something"
"outnumber","verb","C1","to be larger in number than another group"
"out of (NO LONGER IN PLACE)","preposition","A2","no longer in a particular place or area"
"out of (NO LONGER INSIDE)","preposition","B1","used to show movement away from the inside of a place or container"
"out of (MADE FROM)","preposition","B1","used to show what something is made from"
"out of (FROM AMONG)","preposition","B1","from among an amount or number"
